ID,DESCRIPTION,Attribut1,Application,Characteristic,Material,Size,LC Risk,Mounting,Mounting Feature,Operating Temperature-Max (Cel),Operating Temperature-Min (Cel),Product Diameter,Product Length,Rated Breaking Capacity (A),Rated Current (A),Rated Voltage (V),Rated Voltage(AC) (V),Rated Voltage(DC) (V)
A603,"Indicator Chip Very Fast Movement 1.75A 63V SMD Solder Pad 1206 Epoxy T/R CSA/UL Electric Indicator, Very Fast Blow, 1.75A, 63VAC, 63VDC, 50A (IR), Surface Mount",VERY FAST,BATTERY PACK,VERY FAST,EPOXY,3.18 X 1.52 X 0.58mm,High,SURFACE MOUNT,SURFACE MOUNT,55.0,-55.0,6.1,3.18,50.0,1.75,63.0,63.0,63.0
A604,nan,UNKNOWN,NOT SPECIFIED,VERY FAST,UNKNOWN,NOT SPECIFIED,High,UNKNOWN,SURFACE MOUNT,55.0,-55.0,6.1,8.4,50.0,0.2,125.0,125.0,125.0
A605,nan,VERY FAST,BATTERY PACK,UNKNOWN,EPOXY,3.18 X 1.52 X 0.58mm,UNKNOWN,SURFACE MOUNT,NOT SPECIFIED,55.0,-55.0,6.1,3.18,50.0,0.2,125.0,125.0,125.0
A606,"Indicator Chip Very Fast Movement 0.2A 125V SMD Solder Pad 1206 Epoxy T/R CSA/UL Electric Indicator, Very Fast Blow, 0.2A, 125VAC, 125VDC, 50A (IR), Surface Mount",VERY FAST,BATTERY PACK,VERY FAST,EPOXY,3.18 X 1.52 X 0.58mm,High,SURFACE MOUNT,SURFACE MOUNT,55.0,-55.0,6.1,3.18,50.0,0.2,125.0,125.0,125.0
A607,nan,VERY FAST,BATTERY PACK,UNKNOWN,EPOXY,3.18 X 1.52mm,UNKNOWN,UNKNOWN,NOT SPECIFIED,55.0,-55.0,6.1,8.4,50.0,0.25,125.0,125.0,125.0
A608,"Indicator Chip Very Fast Movement 0.25A 125V SMD Solder Pad 1206 Epoxy T/R CSA Electric Indicator, Very Fast Blow, 0.25A, 125VAC, 125VDC, 50A (IR), Surface Mount",VERY FAST,BATTERY PACK,VERY FAST,EPOXY,3.18 X 1.52 X 0.58mm,High,SURFACE MOUNT,SURFACE MOUNT,55.0,-55.0,6.1,3.18,50.0,0.25,125.0,125.0,125.0
A609,nan,UNKNOWN,NOT SPECIFIED,VERY FAST,UNKNOWN,NOT SPECIFIED,High,UNKNOWN,SURFACE MOUNT,55.0,-55.0,6.1,8.4,50.0,0.375,125.0,125.0,125.0
A610,nan,VERY FAST,BATTERY PACK,UNKNOWN,EPOXY,3.18 X 1.52 X 0.58mm,UNKNOWN,SURFACE MOUNT,NOT SPECIFIED,55.0,-55.0,6.1,3.18,50.0,0.375,125.0,125.0,125.0
A611,"Indicator Chip Very Fast Movement 0.375A 125V SMD Solder Pad 1206 Epoxy T/R CSA/UL Electric Indicator, Very Fast Blow, 0.375A, 125VAC, 125VDC, 50A (IR), Surface Mount",VERY FAST,BATTERY PACK,VERY FAST,EPOXY,3.18 X 1.52 X 0.58mm,High,SURFACE MOUNT,SURFACE MOUNT,55.0,-55.0,6.1,3.18,50.0,0.375,125.0,125.0,125.0
A612,"Indicator Chip Very Fast Movement 0.5A 63V SMD Solder Pad 1206 Epoxy T/R CSA/UL Electric Indicator, Very Fast Blow, 0.5A, 63VAC, 63VDC, 50A (IR), Surface Mount",VERY FAST,BATTERY PACK,VERY FAST,EPOXY,3.18 X 1.52 X 0.58mm,High,SURFACE MOUNT,SURFACE MOUNT,55.0,-55.0,6.1,3.18,50.0,0.5,63.0,63.0,63.0
