ID,DESCRIPTION,Attribut1,Application,Characteristic,Material,Size,LC Risk,Mounting,Mounting Feature,Operating Temperature-Max (Cel),Operating Temperature-Min (Cel),Product Diameter,Product Length,Rated Breaking Capacity (A),Rated Current (A),Rated Voltage (V),Rated Voltage(AC) (V),Rated Voltage(DC) (V)
A535,"Indicator Chip Fast Movement 1A SMD Solder Pad 0402 T/R Electric Indicator, Fast Blow, 1A, 24VDC, 35A (IR), Surface Mount",FAST,MOTOR CIRCUIT,FAST,UNKNOWN,1 X 0.51mm,Low,SURFACE MOUNT,SURFACE MOUNT,125.0,-55.0,6.1,1.0,35.0,1.0,24.0,0.0,1.0
A536,"Indicator Chip Fast Movement 1.5A 24V SMD Solder Pad 0402 T/R Electric Indicator, Fast Blow, 1.5A, 24VDC, 35A (IR), Surface Mount",FAST,MOTOR CIRCUIT,FAST,UNKNOWN,1 X 0.51mm,Low,SURFACE MOUNT,SURFACE MOUNT,125.0,-55.0,6.1,1.0,35.0,1.5,24.0,0.0,1.5
A537,"Indicator Chip Fast Movement 2A SMD Solder Pad 0402 Ceramic T/R Electric Indicator, Fast Blow, 2A, 24VDC, 35A (IR), Surface Mount",FAST,MOTOR CIRCUIT,FAST,CERAMIC,1 X 0.51mm,Low,SURFACE MOUNT,SURFACE MOUNT,125.0,-55.0,6.1,1.0,35.0,2.0,24.0,0.0,2.0
A538,"Indicator Chip Fast Movement 3A SMD Solder Pad 0402 Ceramic T/R Electric Indicator, Fast Blow, 3A, 24VDC, 35A (IR), Surface Mount",FAST,MOTOR CIRCUIT,FAST,CERAMIC,1 X 0.51mm,Low,SURFACE MOUNT,SURFACE MOUNT,125.0,-55.0,6.1,1.0,35.0,3.0,24.0,0.0,3.0
A539,"Indicator Chip Fast Movement 4A SMD Solder Pad 0402 Ceramic T/R Electric Indicator, Fast Blow, 4A, 24VDC, 35A (IR), Surface Mount",FAST,MOTOR CIRCUIT,FAST,CERAMIC,1 X 0.51mm,Low,SURFACE MOUNT,SURFACE MOUNT,125.0,-55.0,6.1,1.0,35.0,4.0,24.0,0.0,4.0
A540,nan,VERY FAST,MOTOR CIRCUIT,UNKNOWN,EPOXY,3.18 X 1.52 X 1.14mm,UNKNOWN,SURFACE MOUNT,NOT SPECIFIED,55.0,-55.0,6.1,3.18,50.0,1.0,63.0,63.0,63.0
A541,Indicator Chip Very Fast Movement 1A 63V SMD Solder Pad 1206 Epoxy T/R CSA/UL,VERY FAST,MOTOR CIRCUIT,UNKNOWN,EPOXY,3.18 X 1.52 X 1.14mm,High,SURFACE MOUNT,NOT SPECIFIED,55.0,-55.0,6.1,3.18,50.0,1.0,63.0,63.0,63.0
A542,nan,VERY FAST,MOTOR CIRCUIT,UNKNOWN,EPOXY,3.18 X 1.52 X 1.14mm,UNKNOWN,SURFACE MOUNT,NOT SPECIFIED,55.0,-55.0,6.1,3.18,50.0,2.0,63.0,63.0,63.0
A543,Indicator Chip Very Fast Movement 2A 63V SMD Solder Pad 1206 Epoxy T/R CSA/UL,VERY FAST,MOTOR CIRCUIT,UNKNOWN,EPOXY,3.18 X 1.52 X 1.14mm,High,SURFACE MOUNT,NOT SPECIFIED,55.0,-55.0,6.1,3.18,50.0,2.0,63.0,63.0,63.0
A544,nan,VERY FAST,MOTOR CIRCUIT,UNKNOWN,EPOXY,3.18 X 1.52 X 1.14mm,UNKNOWN,SURFACE MOUNT,NOT SPECIFIED,55.0,-55.0,6.1,3.18,50.0,3.0,32.0,32.0,32.0
