ID,DESCRIPTION,Attribut1,Application,Characteristic,Material,Size,LC Risk,Mounting,Mounting Feature,Operating Temperature-Max (Cel),Operating Temperature-Min (Cel),Product Diameter,Product Length,Rated Breaking Capacity (A),Rated Current (A),Rated Voltage (V),Rated Voltage(AC) (V),Rated Voltage(DC) (V),search_context
A896,"Indicator Chip Very Fast Movement 3.5A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 3.5A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO",VERY FAST,AUTOMOTIVE,VERY FAST,CERAMIC,NANO,Low,SURFACE MOUNT,SURFACE MOUNT,125.0,-55.0,6.1,6.1,50.0,3.5,125.0,125.0,125.0,"Industrial Part: Indicator Chip Very Fast Movement 3.5A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 3.5A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO. Rated Current: 3.5A. Voltage: 125.0V. Material: CERAMIC. Physical Size: 6.1mm x 6.1mm."
A897,"Indicator Chip Very Fast Movement 3.5A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 3.5A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO",VERY FAST,AUTOMOTIVE,VERY FAST,CERAMIC,6.1 X 2.69mm,High,SURFACE MOUNT,SURFACE MOUNT,125.0,-55.0,6.1,6.1,50.0,3.5,125.0,125.0,3.5,"Industrial Part: Indicator Chip Very Fast Movement 3.5A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 3.5A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO. Rated Current: 3.5A. Voltage: 125.0V. Material: CERAMIC. Physical Size: 6.1mm x 6.1mm."
A898,"Indicator Chip Very Fast Movement 3.5A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 3.5A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO",VERY FAST,AUTOMOTIVE,VERY FAST,CERAMIC,NANO,Low,SURFACE MOUNT,SURFACE MOUNT,125.0,-55.0,6.1,6.1,50.0,3.5,125.0,125.0,125.0,"Industrial Part: Indicator Chip Very Fast Movement 3.5A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 3.5A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO. Rated Current: 3.5A. Voltage: 125.0V. Material: CERAMIC. Physical Size: 6.1mm x 6.1mm."
A899,,VERY FAST,AUTOMOTIVE,UNKNOWN,CERAMIC,6.1 X 2.69mm,UNKNOWN,SURFACE MOUNT,NOT SPECIFIED,55.0,-55.0,6.1,6.1,50.0,3.5,125.0,125.0,125.0,Industrial Part: nan. Rated Current: 3.5A. Voltage: 125.0V. Material: CERAMIC. Physical Size: 6.1mm x 6.1mm.
A900,"Indicator Chip Very Fast Movement 0.062A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 0.062A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO",VERY FAST,AUTOMOTIVE,VERY FAST,CERAMIC,6.1 X 2.69mm,High,SURFACE MOUNT,SURFACE MOUNT,125.0,-55.0,6.1,6.1,50.0,0.062,125.0,125.0,0.062,"Industrial Part: Indicator Chip Very Fast Movement 0.062A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 0.062A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO. Rated Current: 0.062A. Voltage: 125.0V. Material: CERAMIC. Physical Size: 6.1mm x 6.1mm."
A901,"Indicator Chip Very Fast Movement 0.062A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 0.062A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO",VERY FAST,AUTOMOTIVE,VERY FAST,CERAMIC,NANO,Low,SURFACE MOUNT,SURFACE MOUNT,125.0,-55.0,6.1,6.1,50.0,0.062,125.0,125.0,125.0,"Industrial Part: Indicator Chip Very Fast Movement 0.062A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 0.062A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO. Rated Current: 0.062A. Voltage: 125.0V. Material: CERAMIC. Physical Size: 6.1mm x 6.1mm."
A902,"Indicator Chip Very Fast Movement 0.062A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 0.062A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO",VERY FAST,AUTOMOTIVE,VERY FAST,CERAMIC,6.1 X 2.69mm,High,SURFACE MOUNT,SURFACE MOUNT,125.0,-55.0,6.1,6.1,50.0,0.062,125.0,125.0,0.062,"Industrial Part: Indicator Chip Very Fast Movement 0.062A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 0.062A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO. Rated Current: 0.062A. Voltage: 125.0V. Material: CERAMIC. Physical Size: 6.1mm x 6.1mm."
A903,"Indicator Chip Very Fast Movement 0.062A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 0.062A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO",VERY FAST,AUTOMOTIVE,VERY FAST,CERAMIC,NANO,Low,SURFACE MOUNT,SURFACE MOUNT,125.0,-55.0,6.1,6.1,50.0,0.062,125.0,125.0,125.0,"Industrial Part: Indicator Chip Very Fast Movement 0.062A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 0.062A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO. Rated Current: 0.062A. Voltage: 125.0V. Material: CERAMIC. Physical Size: 6.1mm x 6.1mm."
A904,,VERY FAST,AUTOMOTIVE,UNKNOWN,CERAMIC,6.1 X 2.69mm,UNKNOWN,SURFACE MOUNT,NOT SPECIFIED,55.0,-55.0,6.1,6.1,50.0,6.3,125.0,125.0,125.0,Industrial Part: nan. Rated Current: 6.3A. Voltage: 125.0V. Material: CERAMIC. Physical Size: 6.1mm x 6.1mm.
A905,"Indicator Chip Very Fast Movement 6.3A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 6.3A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO",VERY FAST,AUTOMOTIVE,VERY FAST,CERAMIC,6.1 X 2.69mm,High,SURFACE MOUNT,SURFACE MOUNT,125.0,-55.0,6.1,6.1,50.0,6.3,125.0,125.0,6.3,"Industrial Part: Indicator Chip Very Fast Movement 6.3A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 6.3A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO. Rated Current: 6.3A. Voltage: 125.0V. Material: CERAMIC. Physical Size: 6.1mm x 6.1mm."
