ID,DESCRIPTION,Attribut1,Application,Characteristic,Material,Size,LC Risk,Mounting,Mounting Feature,Operating Temperature-Max (Cel),Operating Temperature-Min (Cel),Product Diameter,Product Length,Rated Breaking Capacity (A),Rated Current (A),Rated Voltage (V),Rated Voltage(AC) (V),Rated Voltage(DC) (V),search_context
A1,"Indicator Red Fast Movement 1.6A 250V Holder Plastic 5 X 20mm Ceramic Box CCC/PSE/VDE/cULus Electric Indicator, Very Fast Blow, 1.6A, 250VAC, 1500A (IR), Inline/holder, 5x20mm",FAST,PRIMARY PROTECTION IN EQUIPMENT,VERY FAST,CERAMIC,5 X 20mm,Low,HOLDER,INLINE/HOLDER,55.0,-55.0,5.2,20.0,1500.0,1.6,250.0,250.0,0.0,"Industrial Part: Indicator Red Fast Movement 1.6A 250V Holder Plastic 5 X 20mm Ceramic Box CCC/PSE/VDE/cULus Electric Indicator, Very Fast Blow, 1.6A, 250VAC, 1500A (IR), Inline/holder, 5x20mm. Rated Current: 1.6A. Voltage: 250.0V. Material: CERAMIC. Physical Size: 5.2mm x 20.0mm."
A2,"Non Resettable Indicators Electric Indicator, Very Fast Blow, 6.3A, 250VAC, 1500A (IR), Inline/holder, 5x20mm",UNKNOWN,PRIMARY PROTECTION IN EQUIPMENT,VERY FAST,CERAMIC,5 X 20mm,Low,HOLDER,INLINE/HOLDER,55.0,-55.0,5.2,20.0,1500.0,6.3,250.0,250.0,0.0,"Industrial Part: Non Resettable Indicators Electric Indicator, Very Fast Blow, 6.3A, 250VAC, 1500A (IR), Inline/holder, 5x20mm. Rated Current: 6.3A. Voltage: 250.0V. Material: CERAMIC. Physical Size: 5.2mm x 20.0mm."
A3,"Indicator Red Fast Movement 8A 250V Holder Plastic 5 X 20mm Ceramic Box KC/PSE/VDE/cULus Electric Indicator, Very Fast Blow, 8A, 250VAC, 1500A (IR), Inline/holder, 5x20mm",FAST,PRIMARY PROTECTION IN EQUIPMENT,VERY FAST,CERAMIC,5 X 20mm,Low,HOLDER,INLINE/HOLDER,55.0,-55.0,5.2,20.0,1500.0,8.0,250.0,250.0,0.0,"Industrial Part: Indicator Red Fast Movement 8A 250V Holder Plastic 5 X 20mm Ceramic Box KC/PSE/VDE/cULus Electric Indicator, Very Fast Blow, 8A, 250VAC, 1500A (IR), Inline/holder, 5x20mm. Rated Current: 8.0A. Voltage: 250.0V. Material: CERAMIC. Physical Size: 5.2mm x 20.0mm."
A4,"Non Resettable Indicators Electric Indicator, Very Fast Blow, 10A, 250VAC, 1500A (IR), Inline/holder, 5x20mm",UNKNOWN,PRIMARY PROTECTION IN EQUIPMENT,VERY FAST,CERAMIC,5 X 20mm,Low,HOLDER,INLINE/HOLDER,55.0,-55.0,5.2,20.0,1500.0,10.0,250.0,250.0,0.0,"Industrial Part: Non Resettable Indicators Electric Indicator, Very Fast Blow, 10A, 250VAC, 1500A (IR), Inline/holder, 5x20mm. Rated Current: 10.0A. Voltage: 250.0V. Material: CERAMIC. Physical Size: 5.2mm x 20.0mm."
A5,"Indicator Red Fast Movement 12.5A 250V Holder Plastic 5 X 20mm Ceramic Box PSE/cULus Electric Indicator, Very Fast Blow, 12.5A, 250VAC, 500A (IR), Inline/holder, 5x20mm",FAST,PRIMARY PROTECTION IN EQUIPMENT,VERY FAST,CERAMIC,5 X 20mm,Low,HOLDER,INLINE/HOLDER,55.0,-55.0,5.2,20.0,500.0,12.5,250.0,250.0,0.0,"Industrial Part: Indicator Red Fast Movement 12.5A 250V Holder Plastic 5 X 20mm Ceramic Box PSE/cULus Electric Indicator, Very Fast Blow, 12.5A, 250VAC, 500A (IR), Inline/holder, 5x20mm. Rated Current: 12.5A. Voltage: 250.0V. Material: CERAMIC. Physical Size: 5.2mm x 20.0mm."
A6,"Indicator Red Fast Movement 12.5A 250V Holder Plastic 5 X 20mm Ceramic Bulk PSE/cULus Electric Indicator, Very Fast Blow, 12.5A, 250VAC, 500A (IR), Inline/holder, 5x20mm",FAST,PRIMARY PROTECTION IN EQUIPMENT,VERY FAST,CERAMIC,5 X 20mm,Low,HOLDER,INLINE/HOLDER,55.0,-55.0,5.2,20.0,500.0,12.5,250.0,250.0,0.0,"Industrial Part: Indicator Red Fast Movement 12.5A 250V Holder Plastic 5 X 20mm Ceramic Bulk PSE/cULus Electric Indicator, Very Fast Blow, 12.5A, 250VAC, 500A (IR), Inline/holder, 5x20mm. Rated Current: 12.5A. Voltage: 250.0V. Material: CERAMIC. Physical Size: 5.2mm x 20.0mm."
A7,"Indicator Red Fast Movement 20A 250V Holder Plastic 6.3 X 32mm Glass Box Electric Indicator, Very Fast Blow, 20A, 250VAC, 1000A (IR), H, Inline/holder",FAST,INDUSTRIAL ELECTRONIC,VERY FAST,GLASS,6.3 X 32mm,Low,HOLDER,INLINE/HOLDER,85.0,-40.0,6.35,31.8,1000.0,20.0,250.0,250.0,0.0,"Industrial Part: Indicator Red Fast Movement 20A 250V Holder Plastic 6.3 X 32mm Glass Box Electric Indicator, Very Fast Blow, 20A, 250VAC, 1000A (IR), H, Inline/holder. Rated Current: 20.0A. Voltage: 250.0V. Material: GLASS. Physical Size: 6.35mm x 31.8mm."
A8,,SLOW,POWER SUPPLY ADAPTER,UNKNOWN,CERAMIC,5 X 20mm,UNKNOWN,UNKNOWN,NOT SPECIFIED,55.0,-55.0,5.0,8.4,50.0,1.25,125.0,0.0,0.0,Industrial Part: nan. Rated Current: 1.25A. Voltage: 125.0V. Material: CERAMIC. Physical Size: 5.0mm x 8.4mm.
A9,"Indicator Red Slow Blow Movement 1A 250V Holder Plastic Melf 5 X 20mm Ceramic Box CCC/CSA/PSE/VDE/cULus Electric Indicator, Time Lag Blow, 1A, 250VAC, 300VDC, 1500A (IR), Inline/holder, 5x20mm",SLOW,POWER SUPPLY ADAPTER,SLOW,CERAMIC,5x20mm,Low,HOLDER,INLINE/HOLDER,55.0,-55.0,5.2,20.0,1500.0,1.0,250.0,250.0,300.0,"Industrial Part: Indicator Red Slow Blow Movement 1A 250V Holder Plastic Melf 5 X 20mm Ceramic Box CCC/CSA/PSE/VDE/cULus Electric Indicator, Time Lag Blow, 1A, 250VAC, 300VDC, 1500A (IR), Inline/holder, 5x20mm. Rated Current: 1.0A. Voltage: 250.0V. Material: CERAMIC. Physical Size: 5.2mm x 20.0mm."
A10,"Non Resettable Indicators Electric Indicator, Time Lag Blow, 2A, 250VAC, 300VDC, 1500A (IR), Inline/holder, 5x20mm",UNKNOWN,POWER SUPPLY ADAPTER,SLOW,CERAMIC,5x20mm,Low,HOLDER,INLINE/HOLDER,55.0,-55.0,5.2,20.0,1500.0,2.0,250.0,250.0,300.0,"Industrial Part: Non Resettable Indicators Electric Indicator, Time Lag Blow, 2A, 250VAC, 300VDC, 1500A (IR), Inline/holder, 5x20mm. Rated Current: 2.0A. Voltage: 250.0V. Material: CERAMIC. Physical Size: 5.2mm x 20.0mm."
A11,"Indicator Red Slow Blow Movement 2A 250V Axial 5 X 20mm Ceramic T/R cULus Electric Indicator, Time Lag Blow, 2A, 250VAC, 300VDC, 1500A (IR), Through Hole",SLOW,PRIMARY PROTECTION ON PCB,SLOW,CERAMIC,5 X 20mm,Low,THROUGH HOLE,THROUGH HOLE,55.0,-55.0,5.4,22.5,1500.0,2.0,250.0,250.0,300.0,"Industrial Part: Indicator Red Slow Blow Movement 2A 250V Axial 5 X 20mm Ceramic T/R cULus Electric Indicator, Time Lag Blow, 2A, 250VAC, 300VDC, 1500A (IR), Through Hole. Rated Current: 2.0A. Voltage: 250.0V. Material: CERAMIC. Physical Size: 5.4mm x 22.5mm."
A12,"Red Indicator, 5 X 20 mm Electric Indicator, Time Lag Blow, 2.5A, 250VAC, 300VDC, 1500A (IR), Inline/holder, 5x20mm",UNKNOWN,NOT SPECIFIED,SLOW,UNKNOWN,5x20mm,Low,UNKNOWN,INLINE/HOLDER,55.0,-55.0,5.2,20.0,5.0,2.5,250.0,250.0,300.0,"Industrial Part: Red Indicator, 5 X 20 mm Electric Indicator, Time Lag Blow, 2.5A, 250VAC, 300VDC, 1500A (IR), Inline/holder, 5x20mm. Rated Current: 2.5A. Voltage: 250.0V. Material: UNKNOWN. Physical Size: 5.2mm x 20.0mm."
A13,"Indicator Red Slow Blow Movement 2.5A 250V Holder Plastic Melf 5 X 20mm Ceramic Bulk CCC/CSA/PSE/UL/cULus Electric Indicator, Time Lag Blow, 2.5A, 250VAC, 300VDC, 1500A (IR), Inline/holder, 5x20mm",SLOW,POWER SUPPLY ADAPTER,SLOW,CERAMIC,5x20mm,Low,HOLDER,INLINE/HOLDER,55.0,-55.0,5.2,20.0,1500.0,2.5,250.0,250.0,300.0,"Industrial Part: Indicator Red Slow Blow Movement 2.5A 250V Holder Plastic Melf 5 X 20mm Ceramic Bulk CCC/CSA/PSE/UL/cULus Electric Indicator, Time Lag Blow, 2.5A, 250VAC, 300VDC, 1500A (IR), Inline/holder, 5x20mm. Rated Current: 2.5A. Voltage: 250.0V. Material: CERAMIC. Physical Size: 5.2mm x 20.0mm."
A14,"Indicator Red Slow Blow Movement 3.15A 250V Holder Plastic 5 X 20mm Ceramic Bulk CCC/CSA/PSE/UL/VDE/cULus Electric Indicator, Time Lag Blow, 3.15A, 250VAC, 300VDC, 1500A (IR), Inline/holder, 5x20mm",SLOW,POWER SUPPLY ADAPTER,SLOW,CERAMIC,5 X 20mm,Low,HOLDER,INLINE/HOLDER,55.0,-55.0,5.2,20.0,1500.0,3.15,250.0,250.0,300.0,"Industrial Part: Indicator Red Slow Blow Movement 3.15A 250V Holder Plastic 5 X 20mm Ceramic Bulk CCC/CSA/PSE/UL/VDE/cULus Electric Indicator, Time Lag Blow, 3.15A, 250VAC, 300VDC, 1500A (IR), Inline/holder, 5x20mm. Rated Current: 3.15A. Voltage: 250.0V. Material: CERAMIC. Physical Size: 5.2mm x 20.0mm."
A15,"Non Resettable Indicators Electric Indicator, Time Lag Blow, 4A, 250VAC, 150VDC, 1500A (IR), Inline/holder, 5x20mm",UNKNOWN,POWER SUPPLY ADAPTER,SLOW,CERAMIC,5x20mm,Low,HOLDER,INLINE/HOLDER,55.0,-55.0,5.2,20.0,1500.0,4.0,250.0,250.0,150.0,"Industrial Part: Non Resettable Indicators Electric Indicator, Time Lag Blow, 4A, 250VAC, 150VDC, 1500A (IR), Inline/holder, 5x20mm. Rated Current: 4.0A. Voltage: 250.0V. Material: CERAMIC. Physical Size: 5.2mm x 20.0mm."
A16,"Non Resettable Indicators Electric Indicator, Time Lag Blow, 5A, 250VAC, 150VDC, 1500A (IR), Inline/holder, 5x20mm",UNKNOWN,NOT SPECIFIED,SLOW,UNKNOWN,5x20mm,Low,HOLDER,INLINE/HOLDER,55.0,-55.0,5.2,20.0,1500.0,5.0,250.0,250.0,150.0,"Industrial Part: Non Resettable Indicators Electric Indicator, Time Lag Blow, 5A, 250VAC, 150VDC, 1500A (IR), Inline/holder, 5x20mm. Rated Current: 5.0A. Voltage: 250.0V. Material: UNKNOWN. Physical Size: 5.2mm x 20.0mm."
A17,"Indicator Red Slow Blow Movement 6.3A 250V Holder Plastic Melf 5 X 20mm Ceramic Bulk CCC/PSE/cULus Electric Indicator, Time Lag Blow, 6.3A, 250VAC, 150VDC, 1500A (IR), Inline/holder, 5x20mm",SLOW,POWER SUPPLY ADAPTER,SLOW,CERAMIC,5x20mm,Low,HOLDER,INLINE/HOLDER,55.0,-55.0,5.2,20.0,1500.0,6.3,250.0,250.0,150.0,"Industrial Part: Indicator Red Slow Blow Movement 6.3A 250V Holder Plastic Melf 5 X 20mm Ceramic Bulk CCC/PSE/cULus Electric Indicator, Time Lag Blow, 6.3A, 250VAC, 150VDC, 1500A (IR), Inline/holder, 5x20mm. Rated Current: 6.3A. Voltage: 250.0V. Material: CERAMIC. Physical Size: 5.2mm x 20.0mm."
A18,,SLOW,POWER SUPPLY ADAPTER,UNKNOWN,CERAMIC,5 X 20mm,UNKNOWN,HOLDER,NOT SPECIFIED,55.0,-55.0,5.2,20.0,50.0,8.0,150.0,250.0,150.0,Industrial Part: nan. Rated Current: 8.0A. Voltage: 150.0V. Material: CERAMIC. Physical Size: 5.2mm x 20.0mm.
A19,"Indicator Red Slow Blow Movement 8A 250V Holder Plastic Melf 5 X 20mm Ceramic Bulk KC/PSE/VDE/cULus Electric Indicator, Time Lag Blow, 8A, 250VAC, 150VDC, 1000A (IR), Inline/holder, 5x20mm",SLOW,POWER SUPPLY ADAPTER,SLOW,CERAMIC,5x20mm,Low,HOLDER,INLINE/HOLDER,55.0,-55.0,5.2,20.0,1000.0,8.0,250.0,250.0,150.0,"Industrial Part: Indicator Red Slow Blow Movement 8A 250V Holder Plastic Melf 5 X 20mm Ceramic Bulk KC/PSE/VDE/cULus Electric Indicator, Time Lag Blow, 8A, 250VAC, 150VDC, 1000A (IR), Inline/holder, 5x20mm. Rated Current: 8.0A. Voltage: 250.0V. Material: CERAMIC. Physical Size: 5.2mm x 20.0mm."
A20,"Indicator Red Slow Blow Movement 16A 250V Holder Plastic 5 X 20mm Ceramic Box CCC/CSA/PSE/UL/VDE/cULus Electric Indicator, Time Lag Blow, 16A, 250VAC, 125VDC, 500A (IR), Inline/holder, 5x20mm",SLOW,POWER SUPPLY ADAPTER,SLOW,CERAMIC,5x20mm,Low,HOLDER,INLINE/HOLDER,125.0,-55.0,5.2,20.0,500.0,16.0,250.0,250.0,125.0,"Industrial Part: Indicator Red Slow Blow Movement 16A 250V Holder Plastic 5 X 20mm Ceramic Box CCC/CSA/PSE/UL/VDE/cULus Electric Indicator, Time Lag Blow, 16A, 250VAC, 125VDC, 500A (IR), Inline/holder, 5x20mm. Rated Current: 16.0A. Voltage: 250.0V. Material: CERAMIC. Physical Size: 5.2mm x 20.0mm."
A21,,SLOW,POWER SUPPLY ADAPTER,UNKNOWN,CERAMIC,5 X 20mm,UNKNOWN,UNKNOWN,NOT SPECIFIED,55.0,-55.0,5.0,8.4,50.0,2.5,250.0,250.0,0.0,Industrial Part: nan. Rated Current: 2.5A. Voltage: 250.0V. Material: CERAMIC. Physical Size: 5.0mm x 8.4mm.
A22,"Indicator Red Slow Blow Movement 6.3A 250V Holder Plastic 6.3 X 32mm Glass Box UL Electric Indicator, Time Lag Blow, 6.3A, 250VAC, 1500A (IR), H, Inline/holder",SLOW,MOTOR CIRCUIT,SLOW,GLASS,6.3 X 32mm,Low,HOLDER,INLINE/HOLDER,85.0,-40.0,6.35,31.8,1500.0,6.3,250.0,250.0,0.0,"Industrial Part: Indicator Red Slow Blow Movement 6.3A 250V Holder Plastic 6.3 X 32mm Glass Box UL Electric Indicator, Time Lag Blow, 6.3A, 250VAC, 1500A (IR), H, Inline/holder. Rated Current: 6.3A. Voltage: 250.0V. Material: GLASS. Physical Size: 6.35mm x 31.8mm."
A23,"Indicator Red Slow Blow Movement 16A 250V Holder Plastic 6.3 X 32mm Glass Box UL Electric Indicator, Time Lag Blow, 16A, 250VAC, 1000A (IR), H, Inline/holder",SLOW,MOTOR CIRCUIT,SLOW,GLASS,6.3 X 32mm,Low,HOLDER,INLINE/HOLDER,85.0,-40.0,6.35,31.8,1000.0,16.0,250.0,250.0,0.0,"Industrial Part: Indicator Red Slow Blow Movement 16A 250V Holder Plastic 6.3 X 32mm Glass Box UL Electric Indicator, Time Lag Blow, 16A, 250VAC, 1000A (IR), H, Inline/holder. Rated Current: 16.0A. Voltage: 250.0V. Material: GLASS. Physical Size: 6.35mm x 31.8mm."
A24,"Indicator Red Slow Blow Movement 1A 250V Holder Plastic Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Indicator, Time Lag Blow, 1A, 250VAC, 300VDC, 1500A (IR), Surface Mount",SLOW,MOTOR CIRCUIT,SLOW,CERAMIC,5 X 20mm,Low,HOLDER,SURFACE MOUNT,55.0,-55.0,5.2,20.0,1500.0,1.0,250.0,250.0,300.0,"Industrial Part: Indicator Red Slow Blow Movement 1A 250V Holder Plastic Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Indicator, Time Lag Blow, 1A, 250VAC, 300VDC, 1500A (IR), Surface Mount. Rated Current: 1.0A. Voltage: 250.0V. Material: CERAMIC. Physical Size: 5.2mm x 20.0mm."
A25,"Indicators PN Electric Indicator, Time Lag Blow, 1A, 250VAC, 300VDC, 1500A (IR), Surface Mount",UNKNOWN,NOT SPECIFIED,SLOW,UNKNOWN,5 X 20mm,Low,UNKNOWN,SURFACE MOUNT,55.0,-55.0,5.2,20.0,1500.0,1.0,250.0,250.0,300.0,"Industrial Part: Indicators PN Electric Indicator, Time Lag Blow, 1A, 250VAC, 300VDC, 1500A (IR), Surface Mount. Rated Current: 1.0A. Voltage: 250.0V. Material: UNKNOWN. Physical Size: 5.2mm x 20.0mm."
A26,"Indicator Red Slow Blow Movement 1A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 1A, 250VAC, 300VDC, 1500A (IR), Surface Mount",SLOW,MOTOR CIRCUIT,SLOW,CERAMIC,5 X 20mm,Low,HOLDER,SURFACE MOUNT,55.0,-55.0,5.2,20.0,1500.0,1.0,250.0,250.0,300.0,"Industrial Part: Indicator Red Slow Blow Movement 1A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 1A, 250VAC, 300VDC, 1500A (IR), Surface Mount. Rated Current: 1.0A. Voltage: 250.0V. Material: CERAMIC. Physical Size: 5.2mm x 20.0mm."
A27,"Indicator Red Slow Blow Movement 1.25A 250V Holder Plastic Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Indicator, Time Lag Blow, 1.25A, 250VAC, 300VDC, 1500A (IR), Surface Mount",SLOW,MOTOR CIRCUIT,SLOW,CERAMIC,5 X 20mm,Low,HOLDER,SURFACE MOUNT,55.0,-55.0,5.2,20.0,1500.0,1.25,250.0,250.0,300.0,"Industrial Part: Indicator Red Slow Blow Movement 1.25A 250V Holder Plastic Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Indicator, Time Lag Blow, 1.25A, 250VAC, 300VDC, 1500A (IR), Surface Mount. Rated Current: 1.25A. Voltage: 250.0V. Material: CERAMIC. Physical Size: 5.2mm x 20.0mm."
A28,"Indicators PN Electric Indicator, Time Lag Blow, 1.25A, 250VAC, 300VDC, 1500A (IR), Surface Mount",UNKNOWN,NOT SPECIFIED,SLOW,UNKNOWN,5 X 20mm,Low,UNKNOWN,SURFACE MOUNT,55.0,-55.0,5.2,20.0,1500.0,1.25,250.0,250.0,300.0,"Industrial Part: Indicators PN Electric Indicator, Time Lag Blow, 1.25A, 250VAC, 300VDC, 1500A (IR), Surface Mount. Rated Current: 1.25A. Voltage: 250.0V. Material: UNKNOWN. Physical Size: 5.2mm x 20.0mm."
A29,"Indicator Red Slow Blow Movement 1.25A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 1.25A, 250VAC, 300VDC, 1500A (IR), Surface Mount",SLOW,MOTOR CIRCUIT,SLOW,CERAMIC,5 X 20mm,Low,HOLDER,SURFACE MOUNT,55.0,-55.0,5.2,20.0,1500.0,1.25,250.0,250.0,300.0,"Industrial Part: Indicator Red Slow Blow Movement 1.25A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 1.25A, 250VAC, 300VDC, 1500A (IR), Surface Mount. Rated Current: 1.25A. Voltage: 250.0V. Material: CERAMIC. Physical Size: 5.2mm x 20.0mm."
A30,"Indicator Red Slow Blow Movement 1.6A 250V Holder Plastic Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Indicator, Time Lag Blow, 1.6A, 250VAC, 300VDC, 1500A (IR), Surface Mount",SLOW,MOTOR CIRCUIT,SLOW,CERAMIC,5 X 20mm,Low,HOLDER,SURFACE MOUNT,55.0,-55.0,5.2,20.0,1500.0,1.6,250.0,250.0,300.0,"Industrial Part: Indicator Red Slow Blow Movement 1.6A 250V Holder Plastic Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Indicator, Time Lag Blow, 1.6A, 250VAC, 300VDC, 1500A (IR), Surface Mount. Rated Current: 1.6A. Voltage: 250.0V. Material: CERAMIC. Physical Size: 5.2mm x 20.0mm."
A31,"Indicator Red Slow Blow Movement 1.6A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 1.6A, 250VAC, 300VDC, 1500A (IR), Surface Mount",SLOW,MOTOR CIRCUIT,SLOW,CERAMIC,5 X 20mm,Low,HOLDER,SURFACE MOUNT,55.0,-55.0,5.2,20.0,1500.0,1.6,250.0,250.0,300.0,"Industrial Part: Indicator Red Slow Blow Movement 1.6A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 1.6A, 250VAC, 300VDC, 1500A (IR), Surface Mount. Rated Current: 1.6A. Voltage: 250.0V. Material: CERAMIC. Physical Size: 5.2mm x 20.0mm."
A32,"Indicator Red Slow Blow Movement 2A 250V Holder Plastic Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Indicator, Time Lag Blow, 2A, 250VAC, 300VDC, 1500A (IR), Surface Mount",SLOW,MOTOR CIRCUIT,SLOW,CERAMIC,5 X 20mm,Low,HOLDER,SURFACE MOUNT,55.0,-55.0,5.2,20.0,1500.0,2.0,250.0,250.0,300.0,"Industrial Part: Indicator Red Slow Blow Movement 2A 250V Holder Plastic Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Indicator, Time Lag Blow, 2A, 250VAC, 300VDC, 1500A (IR), Surface Mount. Rated Current: 2.0A. Voltage: 250.0V. Material: CERAMIC. Physical Size: 5.2mm x 20.0mm."
A33,"Indicators PN Electric Indicator, Time Lag Blow, 2A, 250VAC, 300VDC, 1500A (IR), Surface Mount",UNKNOWN,NOT SPECIFIED,SLOW,UNKNOWN,5 X 20mm,Low,HOLDER,SURFACE MOUNT,55.0,-55.0,5.2,20.0,1500.0,2.0,250.0,250.0,300.0,"Industrial Part: Indicators PN Electric Indicator, Time Lag Blow, 2A, 250VAC, 300VDC, 1500A (IR), Surface Mount. Rated Current: 2.0A. Voltage: 250.0V. Material: UNKNOWN. Physical Size: 5.2mm x 20.0mm."
A34,"Indicator Red Slow Blow Movement 2A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 2A, 250VAC, 300VDC, 1500A (IR), Surface Mount",SLOW,MOTOR CIRCUIT,SLOW,CERAMIC,5 X 20mm,Low,HOLDER,SURFACE MOUNT,55.0,-55.0,5.2,20.0,1500.0,2.0,250.0,250.0,300.0,"Industrial Part: Indicator Red Slow Blow Movement 2A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 2A, 250VAC, 300VDC, 1500A (IR), Surface Mount. Rated Current: 2.0A. Voltage: 250.0V. Material: CERAMIC. Physical Size: 5.2mm x 20.0mm."
A35,"Indicator Red Slow Blow Movement 2.5A 250V Holder Plastic Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Indicator, Time Lag Blow, 2.5A, 250VAC, 300VDC, 1500A (IR), Surface Mount",SLOW,MOTOR CIRCUIT,SLOW,CERAMIC,5 X 20mm,Low,HOLDER,SURFACE MOUNT,55.0,-55.0,5.2,20.0,1500.0,2.5,250.0,250.0,300.0,"Industrial Part: Indicator Red Slow Blow Movement 2.5A 250V Holder Plastic Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Indicator, Time Lag Blow, 2.5A, 250VAC, 300VDC, 1500A (IR), Surface Mount. Rated Current: 2.5A. Voltage: 250.0V. Material: CERAMIC. Physical Size: 5.2mm x 20.0mm."
A36,"Indicators PN Electric Indicator, Time Lag Blow, 2.5A, 250VAC, 300VDC, 1500A (IR), Surface Mount",UNKNOWN,NOT SPECIFIED,SLOW,UNKNOWN,5 X 20mm,Low,UNKNOWN,SURFACE MOUNT,55.0,-55.0,5.2,20.0,1500.0,2.5,250.0,250.0,300.0,"Industrial Part: Indicators PN Electric Indicator, Time Lag Blow, 2.5A, 250VAC, 300VDC, 1500A (IR), Surface Mount. Rated Current: 2.5A. Voltage: 250.0V. Material: UNKNOWN. Physical Size: 5.2mm x 20.0mm."
A37,"Indicator Red Slow Blow Movement 2.5A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 2.5A, 250VAC, 300VDC, 1500A (IR), Surface Mount",SLOW,MOTOR CIRCUIT,SLOW,CERAMIC,5 X 20mm,Low,HOLDER,SURFACE MOUNT,55.0,-55.0,5.2,20.0,1500.0,2.5,250.0,250.0,300.0,"Industrial Part: Indicator Red Slow Blow Movement 2.5A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 2.5A, 250VAC, 300VDC, 1500A (IR), Surface Mount. Rated Current: 2.5A. Voltage: 250.0V. Material: CERAMIC. Physical Size: 5.2mm x 20.0mm."
A38,"Indicator Red Slow Blow Movement 3.15A 250V Holder Plastic Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Indicator, Time Lag Blow, 3.15A, 250VAC, 300VDC, 1500A (IR), Surface Mount",SLOW,MOTOR CIRCUIT,SLOW,CERAMIC,5 X 20mm,Low,HOLDER,SURFACE MOUNT,55.0,-55.0,5.2,20.0,1500.0,3.15,250.0,250.0,300.0,"Industrial Part: Indicator Red Slow Blow Movement 3.15A 250V Holder Plastic Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Indicator, Time Lag Blow, 3.15A, 250VAC, 300VDC, 1500A (IR), Surface Mount. Rated Current: 3.15A. Voltage: 250.0V. Material: CERAMIC. Physical Size: 5.2mm x 20.0mm."
A39,"Indicators PN Electric Indicator, Time Lag Blow, 3.15A, 250VAC, 300VDC, 1500A (IR), Surface Mount",UNKNOWN,NOT SPECIFIED,SLOW,UNKNOWN,5 X 20mm,Low,UNKNOWN,SURFACE MOUNT,55.0,-55.0,5.2,20.0,1500.0,3.15,250.0,250.0,300.0,"Industrial Part: Indicators PN Electric Indicator, Time Lag Blow, 3.15A, 250VAC, 300VDC, 1500A (IR), Surface Mount. Rated Current: 3.15A. Voltage: 250.0V. Material: UNKNOWN. Physical Size: 5.2mm x 20.0mm."
A40,"Indicator Red Slow Blow Movement 3.15A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 3.15A, 250VAC, 300VDC, 1500A (IR), Surface Mount",SLOW,MOTOR CIRCUIT,SLOW,CERAMIC,5 X 20mm,Low,HOLDER,SURFACE MOUNT,55.0,-55.0,5.2,20.0,1500.0,3.15,250.0,250.0,300.0,"Industrial Part: Indicator Red Slow Blow Movement 3.15A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 3.15A, 250VAC, 300VDC, 1500A (IR), Surface Mount. Rated Current: 3.15A. Voltage: 250.0V. Material: CERAMIC. Physical Size: 5.2mm x 20.0mm."
